Название,Адрес,Категория,Номер телефона,Cсылка
Altaport - Магазин Мужской Одежды,"Южнопортовая ул., 5",Магазин мужской одежды,,https://www.google.com/maps/place/Altaport+-+%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%9E%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B/data=!4m7!3m6!1s0x414ab56d676adf07:0x95dbf6c75efd2c81!8m2!3d55.7088027!4d37.6894805!16s%2Fg%2F11jdqntkb_!19sChIJB99qZ221SkERgSz9Xsf225U?authuser=0&hl=ru&rclk=1
KANZLER,"Каширское ш., д. 26, 2 этаж",Магазин мужской одежды,+7 495 966-63-86,https://www.google.com/maps/place/KANZLER/data=!4m7!3m6!1s0x414ab36d493fb76b:0x4c99c0d1a2ccc858!8m2!3d55.653957!4d37.646889!16s%2Fg%2F11g8wnxjyl!19sChIJa7c_SW2zSkERWMjMotHAmUw?authuser=0&hl=ru&rclk=1
Мужские костюмы - Мистер Бивень,"Московская ул., 14",Магазин мужской одежды,+7 926 992-98-68,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D0%B5+%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D1%8B+-+%D0%9C%D0%B8%D1%81%D1%82%D0%B5%D1%80+%D0%91%D0%B8%D0%B2%D0%B5%D0%BD%D1%8C/data=!4m7!3m6!1s0x46b5396f8ede475d:0x17db94d67a45d119!8m2!3d55.894449!4d37.44899!16s%2Fg%2F11rggr_g7g!19sChIJXUfejm85tUYRGdFFetaU2xc?authuser=0&hl=ru&rclk=1
Donatto,"ул. Профсоюзная, 126, корп. 1",Магазин мужской одежды,+7 495 420-12-68 ext. 4017,https://www.google.com/maps/place/Donatto/data=!4m7!3m6!1s0x46b54d51b7171821:0x2f4cbc72baafd7db!8m2!3d55.632551!4d37.5186199!16s%2Fg%2F12hlxvrfm!19sChIJIRgXt1FNtUYR29evunK8TC8?authuser=0&hl=ru&rclk=1
JS Casual,"ул. Миклухо-Маклая, 32А",Магазин одежды,+7 495 775-29-32,https://www.google.com/maps/place/JS+Casual/data=!4m7!3m6!1s0x46b54d484cf7e7c5:0xaca9033dc00c60c!8m2!3d55.6409903!4d37.5307533!16s%2Fg%2F12qg85p_1!19sChIJxef3TEhNtUYRDMYA3DOQygo?authuser=0&hl=ru&rclk=1
Albione,"МКАД, 24-й километр, 1",Магазин мужской одежды,+7 495 727-16-09,https://www.google.com/maps/place/Albione/data=!4m7!3m6!1s0x414ab1bcd8534057:0x50bdd11027f6be60!8m2!3d55.586563!4d37.724567!16s%2Fg%2F1hhw8jfd8!19sChIJV0BT2LyxSkERYL72JxDRvVA?authuser=0&hl=ru&rclk=1
OLYMP,"МКАД 24 км, 24",Магазин мужской одежды,+7 495 727-16-44,https://www.google.com/maps/place/OLYMP/data=!4m7!3m6!1s0x414ab1bd2ad488a1:0xa97fbd7a4cfa09d9!8m2!3d55.5864016!4d37.7246638!16s%2Fg%2F11dxs2njky!19sChIJoYjUKr2xSkER2Qn6THq9f6k?authuser=0&hl=ru&rclk=1
ЭSTET,"Ореховый б-р, 15, ТЦ ""Галерея Водолей"" 1 этаж",Магазин мужской одежды,+7 929 507-50-06,https://www.google.com/maps/place/%D0%ADSTET/data=!4m7!3m6!1s0x414ab17cc577a223:0x17cb83015fb7ee90!8m2!3d55.6128361!4d37.7203148!16s%2Fg%2F1tgxgm6s!19sChIJI6J3xXyxSkERkO63XwGDyxc?authuser=0&hl=ru&rclk=1
CLAUDE,"МКАД, 30",Магазин мужской одежды,+7 499 944-00-92,https://www.google.com/maps/place/CLAUDE/data=!4m7!3m6!1s0x414ab68d2f6964e1:0x297cf9455f38983d!8m2!3d55.654879!4d37.830958!16s%2Fg%2F1pzv4xzvx!19sChIJ4WRpL422SkERPZg4X0X5fCk?authuser=0&hl=ru&rclk=1
Интернет-магазин мужской одежды Good Manners,"ул. Брусилова, 41",Интернет-магазин,+7 800 201-20-50,https://www.google.com/maps/place/%D0%98%D0%BD%D1%82%D0%B5%D1%80%D0%BD%D0%B5%D1%82-%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B+Good+Manners/data=!4m7!3m6!1s0x414aaf900039ac3d:0x3c327f85e9e79794!8m2!3d55.502517!4d37.598702!16s%2Fg%2F11mnkpmwfj!19sChIJPaw5AJCvSkERlJfn6YV_Mjw?authuser=0&hl=ru&rclk=1
Сударь,Москва Кировоградская улица 9к4 ТЦ Южный,Магазин одежды,+7 499 753-22-04,https://www.google.com/maps/place/%D0%A1%D1%83%D0%B4%D0%B0%D1%80%D1%8C/data=!4m7!3m6!1s0x414ab336f204c591:0x9aba728d018fa42e!8m2!3d55.621734!4d37.6115239!16s%2Fg%2F11j5lg6wcg!19sChIJkcUE8jazSkERLqSPAY1yupo?authuser=0&hl=ru&rclk=1
Мужской Спортивный Костюм Gant,"МКАД, 32-й",Магазин одежды,,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%A1%D0%BF%D0%BE%D1%80%D1%82%D0%B8%D0%B2%D0%BD%D1%8B%D0%B9+%D0%9A%D0%BE%D1%81%D1%82%D1%8E%D0%BC+Gant/data=!4m7!3m6!1s0x414ab6eaf69bb2bf:0x4202a0e8ee9b43f9!8m2!3d55.644667!4d37.8213621!16s%2Fg%2F11rq1lghby!19sChIJv7Kb9uq2SkER-UOb7uigAkI?authuser=0&hl=ru&rclk=1
Сударь,"Москва Варшавское шоссе 152к2 м, ул. Академика Янгеля",Магазин одежды,+7 495 389-61-44,https://www.google.com/maps/place/%D0%A1%D1%83%D0%B4%D0%B0%D1%80%D1%8C/data=!4m7!3m6!1s0x414aad8808e2bb45:0xabecf640682c706f!8m2!3d55.591259!4d37.5983389!16s%2Fg%2F1tfyzn_8!19sChIJRbviCIitSkERb3AsaED27Ks?authuser=0&hl=ru&rclk=1
Мужская одежда,"ул.3-Е Почтовое отделение дом 100 этаж 2, павильон 3",Магазин мужской одежды,+7 926 414-11-82,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B0%D1%8F+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0/data=!4m7!3m6!1s0x414ab703a3154f91:0xbfc238b87be6c828!8m2!3d55.6837974!4d37.8658661!16s%2Fg%2F11h4dc52mk!19sChIJkU8VowO3SkERKMjme7g4wr8?authuser=0&hl=ru&rclk=1
HENDERSON,"1-й Покровский пр-д, 5, СТЦ «МЕГА Белая Дача», 1 этаж",Магазин мужской одежды,+7 495 134-39-00,https://www.google.com/maps/place/HENDERSON/data=!4m7!3m6!1s0x414ab6f2ad07f1e1:0x157c6ee6d910f55b!8m2!3d55.6541889!4d37.8419824!16s%2Fg%2F1tdypb8p!19sChIJ4fEHrfK2SkERW_UQ2eZufBU?authuser=0&hl=ru&rclk=1
Мужская классическая одежда OLIAN,"ул. Ленина, 47",Магазин мужской одежды,+7 977 446-47-37,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B0%D1%8F+%D0%BA%D0%BB%D0%B0%D1%81%D1%81%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0+OLIAN/data=!4m7!3m6!1s0x414ab7fbfe647d75:0xcb3a3f84d37b649d!8m2!3d55.612139!4d37.9765975!16s%2Fg%2F11xy19w8k!19sChIJdX1k_vu3SkERnWR704Q_Oss?authuser=0&hl=ru&rclk=1
Сударь,"м.Кантемировская, Кантемировская ул., 29",Магазин одежды,+7 499 320-31-65,https://www.google.com/maps/place/%D0%A1%D1%83%D0%B4%D0%B0%D1%80%D1%8C/data=!4m7!3m6!1s0x414ab3a45247f0e1:0xb7280b84e3abe99c!8m2!3d55.6371903!4d37.665625!16s%2Fg%2F1tf5nsgp!19sChIJ4fBHUqSzSkERnOmr44QLKLc?authuser=0&hl=ru&rclk=1
velikan1.ru,"Тихорецкий б-р, 1 стр 1",Магазин мужской одежды,+7 916 873-24-58,https://www.google.com/maps/place/velikan1.ru/data=!4m7!3m6!1s0x414ab43721048855:0x89c4bc0d35c15249!8m2!3d55.6737114!4d37.7795855!16s%2Fg%2F11c0pym6y7!19sChIJVYgEITe0SkERSVLBNQ28xIk?authuser=0&hl=ru&rclk=1
Мужские Костюмы,"ул. Новокосинская, 8, корп. 1",Магазин одежды,+7 495 702-87-00,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D0%B5+%D0%9A%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D1%8B/data=!4m7!3m6!1s0x414aca6a951644a9:0x6bf3e9778e9ad11a!8m2!3d55.733038!4d37.855361!16s%2Fg%2F11btrrf52d!19sChIJqUQWlWrKSkERGtGajnfp82s?authuser=0&hl=ru&rclk=1
Сеть магазинов мужской одежды Gosudar,"ул. Инициативная, д. 7Б",Магазин одежды,+7 926 529-61-05,https://www.google.com/maps/place/%D0%A1%D0%B5%D1%82%D1%8C+%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD%D0%BE%D0%B2+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B+Gosudar/data=!4m7!3m6!1s0x414ab62402ffffff:0x523fbb9fc39dc7ff!8m2!3d55.6860599!4d37.8987028!16s%2Fg%2F11rg20c2lj!19sChIJ____AiS2SkER_8edw5-7P1I?authuser=0&hl=ru&rclk=1
Donatto,"ТЦ ""Пражский Пассаж"", ул. Красного Маяка, 2Б, 1 этаж",Магазин мужской одежды,+7 495 721-82-62,https://www.google.com/maps/place/Donatto/data=!4m7!3m6!1s0x414ab261c1ed21fb:0xd396251475088ccc!8m2!3d55.611339!4d37.6053901!16s%2Fg%2F1tjt0gv9!19sChIJ-yHtwWGySkERzIwIdRQlltM?authuser=0&hl=ru&rclk=1
Van CLIFF,"ул. Перерва, 43 корпус 1",Магазин верхней одежды,+7 495 980-23-06,https://www.google.com/maps/place/Van+CLIFF/data=!4m7!3m6!1s0x414ab55e09299f8b:0x27753a90862b0cba!8m2!3d55.6596166!4d37.7497257!16s%2Fg%2F11nmhsmfg8!19sChIJi58pCV61SkERugwrhpA6dSc?authuser=0&hl=ru&rclk=1
Carducci,"Автозаводская ул., 18",Магазин мужской одежды,+7 926 047-30-02,https://www.google.com/maps/place/Carducci/data=!4m7!3m6!1s0x46b54b49a0383c15:0x3954f2c77be6be42!8m2!3d55.7048978!4d37.6398818!16s%2Fg%2F11j3mc2b27!19sChIJFTw4oElLtUYRQr7me8fyVDk?authuser=0&hl=ru&rclk=1
Мужские Костюмы,"ул. Граничная, 4а",Магазин одежды,,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D0%B5+%D0%9A%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D1%8B/data=!4m7!3m6!1s0x414ac94775afd279:0x51df95e484e246d!8m2!3d55.7487637!4d37.9867375!16s%2Fg%2F11j1hz04l4!19sChIJedKvdUfJSkERbSROSF75HQU?authuser=0&hl=ru&rclk=1
"ТВОЙ СТИЛЬ, магазин мужской одежды","ул. Ленина, 10",Магазин одежды,+7 495 552-15-70,"https://www.google.com/maps/place/%D0%A2%D0%92%D0%9E%D0%99+%D0%A1%D0%A2%D0%98%D0%9B%D0%AC,+%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B/data=!4m7!3m6!1s0x414aba19230f79f5:0xeabda30aa15ece88!8m2!3d55.5784246!4d37.9047911!16s%2Fg%2F1pzqczj81!19sChIJ9XkPIxm6SkERiM5eoQqjveo?authuser=0&hl=ru&rclk=1"
Сударь,"ул. Гагарина, 56",Магазин одежды,+7 495 640-95-56,https://www.google.com/maps/place/%D0%A1%D1%83%D0%B4%D0%B0%D1%80%D1%8C/data=!4m7!3m6!1s0x414ab8baaa0ddc55:0x747e7d9ff8d0a5c5!8m2!3d55.608724!4d38.0931309!16s%2Fg%2F11b86wbg__!19sChIJVdwNqrq4SkERxaXQ-J99fnQ?authuser=0&hl=ru&rclk=1
Strellson,"Новорязанское ш., 8",Магазин мужской одежды,+7 926 387-24-79,https://www.google.com/maps/place/Strellson/data=!4m7!3m6!1s0x414ab64e100ea087:0x9ae0098a30860a91!8m2!3d55.6612312!4d37.8776251!16s%2Fg%2F11bzrk_zrd!19sChIJh6AOEE62SkERkQqGMIoJ4Jo?authuser=0&hl=ru&rclk=1
Мужская одежда Классика,"ул. Вешняковская, 22А",Магазин мужской одежды,,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B0%D1%8F+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0+%D0%9A%D0%BB%D0%B0%D1%81%D1%81%D0%B8%D0%BA%D0%B0/data=!4m7!3m6!1s0x414ab54964463f69:0x6e3449752caa9c3f!8m2!3d55.720428!4d37.82218!16s%2Fg%2F11h4kgfrzw!19sChIJaT9GZEm1SkERP5yqLHVJNG4?authuser=0&hl=ru&rclk=1
"Премьер-костюм, Магазин Одежды","ул. Жуковского, 5",Магазин одежды,+7 496 483-36-99,"https://www.google.com/maps/place/%D0%9F%D1%80%D0%B5%D0%BC%D1%8C%D0%B5%D1%80-%D0%BA%D0%BE%D1%81%D1%82%D1%8E%D0%BC,+%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%9E%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B/data=!4m7!3m6!1s0x414abf4e7785be33:0x9a04bef6abcda7b5!8m2!3d55.598083!4d38.1151529!16s%2Fg%2F1tfkd3yt!19sChIJM76Fd06_SkERtafNq_a-BJo?authuser=0&hl=ru&rclk=1"
D'S Damat,"Новорязанское ш., 8",Магазин мужской одежды,+7 495 787-33-59,https://www.google.com/maps/place/D%27S+Damat/data=!4m7!3m6!1s0x414ab651e4ad3893:0x876a74aa5fd3924d!8m2!3d55.660383!4d37.8789213!16s%2Fg%2F11c5_5_63q!19sChIJkzit5FG2SkERTZLTX6p0aoc?authuser=0&hl=ru&rclk=1
Мужской Стиль,"Южная ул., 10А",Магазин одежды,,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%A1%D1%82%D0%B8%D0%BB%D1%8C/data=!4m7!3m6!1s0x414aca4fa3ec37af:0x4bf0f619006d4a39!8m2!3d55.7471723!4d37.8619956!16s%2Fg%2F11hblj1nky!19sChIJrzfso0_KSkEROUptABn28Es?authuser=0&hl=ru&rclk=1
МАСКА,"ул. Чкалова, 35",Магазин одежды,+7 985 156-86-39,https://www.google.com/maps/place/%D0%9C%D0%90%D0%A1%D0%9A%D0%90/data=!4m7!3m6!1s0x414abf455de02cd9:0x1c434071cf3df28a!8m2!3d55.5960426!4d38.1255569!16s%2Fg%2F1tfvfrx0!19sChIJ2SzgXUW_SkERivI9z3FAQxw?authuser=0&hl=ru&rclk=1
Магазин Dairos,"Октябрьский пр-т вл. 112 ТРЦ ""Выходной",Магазин мужской одежды,+7 925 638-79-69,https://www.google.com/maps/place/%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+Dairos/data=!4m7!3m6!1s0x414ab73c8ae6b4bf:0xc153f8fe6394cd55!8m2!3d55.685042!4d37.877677!16s%2Fg%2F11hyk3lx24!19sChIJv7Tmijy3SkERVc2UY_74U8E?authuser=0&hl=ru&rclk=1
Robsen,,Магазин мужской одежды,,https://www.google.com/maps/place/Robsen/data=!4m7!3m6!1s0x414acbb5a0613405:0xcba9e594a2dd33d0!8m2!3d55.752347!4d37.8875475!16s%2Fg%2F11hbntrt92!19sChIJBTRhoLXLSkER0DPdopTlqcs?authuser=0&hl=ru&rclk=1
Мужские Костюмы,"ТД ""Щелково"", Щелковскoe ш., 100",Магазин мужской одежды,+7 926 754-01-38,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%B8%D0%B5+%D0%9A%D0%BE%D1%81%D1%82%D1%8E%D0%BC%D1%8B/data=!4m7!3m6!1s0x46b534ace2c258c7:0x9a0ae54384a5889d!8m2!3d55.812206!4d37.830268!16s%2Fg%2F1hd_bt_35!19sChIJx1jC4qw0tUYRnYilhEPlCpo?authuser=0&hl=ru&rclk=1
Мужской Костюм,,Магазин одежды,,https://www.google.com/maps/place/%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%9A%D0%BE%D1%81%D1%82%D1%8E%D0%BC/data=!4m7!3m6!1s0x46b534d0152ec789:0x6d83b485877d6e84!8m2!3d55.7970581!4d37.7863751!16s%2Fg%2F11gffbbpk7!19sChIJiccuFdA0tUYRhG59h4W0g20?authuser=0&hl=ru&rclk=1
Van Cliff,"1-й Покровский пр-д, 5",Магазин одежды,+7 985 776-23-64,https://www.google.com/maps/place/Van+Cliff/data=!4m7!3m6!1s0x414ab6f6ada3e691:0xf7ad7c788b8de6ac!8m2!3d55.6538228!4d37.8449978!16s%2Fg%2F124svz9zm!19sChIJkeajrfa2SkERrOaNi3h8rfc?authuser=0&hl=ru&rclk=1
KANZLER,Москва шоссе Энтузиастов 12к2 ТРЦ Город,Магазин мужской одежды,+7 495 114-21-35,https://www.google.com/maps/place/KANZLER/data=!4m7!3m6!1s0x46b54ab035838fc9:0xa4b3eae359c967cc!8m2!3d55.7474162!4d37.707049!16s%2Fg%2F1260407cy!19sChIJyY-DNbBKtUYRzGfJWePqs6Q?authuser=0&hl=ru&rclk=1
Tom Farr,"ул. Михалевича, 5",Магазин одежды,+7 495 755-99-66,https://www.google.com/maps/place/Tom+Farr/data=!4m7!3m6!1s0x414a95525ec2c281:0x76443202b41b7023!8m2!3d55.5682536!4d38.2312101!16s%2Fg%2F11b6d2w3k9!19sChIJgcLCXlKVSkERI3AbtAIyRHY?authuser=0&hl=ru&rclk=1
TOMSOYER,"г. Москва, МЕГА Белая Дача, 1-й Покровский пр-д, 5",Магазин одежды,,https://www.google.com/maps/place/TOMSOYER/data=!4m7!3m6!1s0x414ab6f589d0f76b:0x49284e599198eef7!8m2!3d55.6588768!4d37.8478151!16s%2Fg%2F11nmr_bmtr!19sChIJa_fQifW2SkER9-6YkVlOKEk?authuser=0&hl=ru&rclk=1
Tom Tailor,"Новорязанское ш., 8",Магазин одежды,+7 495 150-15-05,https://www.google.com/maps/place/Tom+Tailor/data=!4m7!3m6!1s0x414ab64e100ea087:0xa441a6a54a44443a!8m2!3d55.6608802!4d37.8788102!16s%2Fg%2F11cn9z087t!19sChIJh6AOEE62SkEROkRESqWmQaQ?authuser=0&hl=ru&rclk=1
Life Mens (Магазин мужской одежды),"1-й Автозаводский, пр. 1-й Тушинский",Магазин одежды,+7 989 160-96-57,https://www.google.com/maps/place/Life+Mens+%28%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B%29/data=!4m7!3m6!1s0x414ab4cb2134eced:0x8728cfe6fd40b695!8m2!3d55.7048174!4d37.6585598!16s%2Fg%2F11c2kcql84!19sChIJ7ew0Icu0SkERlbZA_ebPKIc?authuser=0&hl=ru&rclk=1
Восторг Магазин-ателье,"Красноармейская ул., 17",Магазин одежды,+7 496 465-01-51,https://www.google.com/maps/place/%D0%92%D0%BE%D1%81%D1%82%D0%BE%D1%80%D0%B3+%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD-%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%D0%B5/data=!4m7!3m6!1s0x414ac0062bca6de9:0x2129332887f22e79!8m2!3d55.5725243!4d38.2363483!16s%2Fg%2F1vnthfnk!19sChIJ6W3KKwbASkEReS7yhygzKSE?authuser=0&hl=ru&rclk=1
Tom Tailor,"ТЦ ""Мега Белая Дача, 1-й Покровский пр-д, 5",Магазин одежды,+7 495 150-15-05,https://www.google.com/maps/place/Tom+Tailor/data=!4m7!3m6!1s0x414ab6f6b274f689:0xa764cce7ad3271a!8m2!3d55.6532945!4d37.8446703!16s%2Fg%2F124t3x26f!19sChIJifZ0sva2SkERGifTes5Mdgo?authuser=0&hl=ru&rclk=1
Имидж-салон Априори,"ул. 9-й Гвардейской Дивизии, 9а",Магазин мужской одежды,+7 903 546-22-12,https://www.google.com/maps/place/%D0%98%D0%BC%D0%B8%D0%B4%D0%B6-%D1%81%D0%B0%D0%BB%D0%BE%D0%BD+%D0%90%D0%BF%D1%80%D0%B8%D0%BE%D1%80%D0%B8/data=!4m7!3m6!1s0x46b56ef888a91295:0x7f8ba84f084ee667!8m2!3d55.913297!4d36.8648017!16s%2Fg%2F126180ldg!19sChIJlRKpiPhutUYRZ-ZOCE-oi38?authuser=0&hl=ru&rclk=1
Истра Мода,"9-ой Гвардейской Дивизии ул, д.9, к.3",Магазин одежды,+7 985 282-11-71,https://www.google.com/maps/place/%D0%98%D1%81%D1%82%D1%80%D0%B0+%D0%9C%D0%BE%D0%B4%D0%B0/data=!4m7!3m6!1s0x46b56ef90dd5f125:0xe74d70f44581832c!8m2!3d55.9116503!4d36.8692273!16s%2Fg%2F11h_x9h5cb!19sChIJJfHVDflutUYRLIOBRfRwTec?authuser=0&hl=ru&rclk=1
Магазин одежды EXCLUSIV,"ул. 9-й Гвардейской Дивизии, дом 9 стр. 3",Магазин молодежной одежды,+7 926 466-85-81,https://www.google.com/maps/place/%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B+EXCLUSIV/data=!4m7!3m6!1s0x46b56fa7c3174b3b:0xcda0c7dfc43e0a7f!8m2!3d55.913404!4d36.8647009!16s%2Fg%2F11hyls7zx0!19sChIJO0sXw6dvtUYRfwo-xN_HoM0?authuser=0&hl=ru&rclk=1
МИСТЕР,"Дубравная ул., 34/29",Магазин мужской одежды,+7 495 225-84-33,https://www.google.com/maps/place/%D0%9C%D0%98%D0%A1%D0%A2%D0%95%D0%A0/data=!4m7!3m6!1s0x46b54705e093b0ad:0x5ed53947dc7f15ea!8m2!3d55.846149!4d37.358078!16s%2Fg%2F1tctd8by!19sChIJrbCT4AVHtUYR6hV_3Ec51V4?authuser=0&hl=ru&rclk=1
Магазин Мужской одежды 46-80,Панфиловский пр.,Магазин одежды,+7 916 882-05-51,https://www.google.com/maps/place/%D0%9C%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD+%D0%9C%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B+46-80/data=!4m7!3m6!1s0x46b514feb74c06d3:0x10073177ae487fc2!8m2!3d55.9950386!4d37.1903398!16s%2Fg%2F11g8wdc236!19sChIJ0wZMt_4UtUYRwn9IrncxBxA?authuser=0&hl=ru&rclk=1
Albione,"д. Воронки, 1, корп. 1",Магазин мужской одежды,+7 495 280-34-68,https://www.google.com/maps/place/Albione/data=!4m7!3m6!1s0x46b54584e2d58de5:0xd1dff786d1d6bfb1!8m2!3d55.8013634!4d37.279236!16s%2Fg%2F11r7vjhhkk!19sChIJ5Y3V4oRFtUYRsb_W0Yb339E?authuser=0&hl=ru&rclk=1
MANSEL мужская одежда,"Дубравная ул., 34",Магазин одежды,+7 926 217-20-29,https://www.google.com/maps/place/MANSEL+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%B0%D1%8F+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0/data=!4m7!3m6!1s0x46b54705e12c8c67:0x1540a722e5b0f21c!8m2!3d55.846367!4d37.3580737!16s%2Fg%2F12qgs0xpy!19sChIJZ4ws4QVHtUYRHPKw5SKnQBU?authuser=0&hl=ru&rclk=1
"JASPER, сеть магазинов мужской одежды","Сходненская ул., 56",Магазин одежды,+7 495 604-13-07,"https://www.google.com/maps/place/JASPER,+%D1%81%D0%B5%D1%82%D1%8C+%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD%D0%BE%D0%B2+%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9+%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B/data=!4m7!3m6!1s0x46b547f224954799:0x2cf7eaa6c6b2d2a0!8m2!3d55.8505302!4d37.4448066!16s%2Fg%2F1pztslw0d!19sChIJmUeVJPJHtUYRoNKyxqbq9yw?authuser=0&hl=ru&rclk=1"
BML OUTLET VILLAGE «FASHION HOUSE»,"д. Черная Грязь, Ленинградское шоссе, 14 км Outlet Village «Fashion House»",Магазин мужской одежды,+7 495 480-61-18,https://www.google.com/maps/place/BML+OUTLET+VILLAGE+%C2%ABFASHION+HOUSE%C2%BB/data=!4m7!3m6!1s0x46b53f5d7a36d847:0xb4bad4d43a4d56df!8m2!3d55.9796479!4d37.3020111!16s%2Fg%2F11f66v9lfh!19sChIJR9g2el0_tUYR31ZNOtTUurQ?authuser=0&hl=ru&rclk=1
HENDERSON,"Пятницкое ш., 1с1, ТП «ОТРАДА», 1 этаж",Магазин мужской одежды,+7 499 649-81-00,https://www.google.com/maps/place/HENDERSON/data=!4m7!3m6!1s0x46b547494d7b5699:0xf9323dc39d16df0b!8m2!3d55.8760455!4d37.3320887!16s%2Fg%2F11f33vht8s!19sChIJmVZ7TUlHtUYRC98WncM9Mvk?authuser=0&hl=ru&rclk=1
WHITE CUFF,"Знаменская ул., 5",Магазин одежды,+7 971 000-29-08,https://www.google.com/maps/place/WHITE+CUFF/data=!4m7!3m6!1s0x46b5465b63ccce7f:0xbbe99c0476a2b744!8m2!3d55.8189751!4d37.3470147!16s%2Fg%2F1pyqqcsjc!19sChIJf87MY1tGtUYRRLeidgSc6bs?authuser=0&hl=ru&rclk=1
Франт,"ул. Фабрициуса, 13",Магазин мужской одежды,+7 499 492-18-12,https://www.google.com/maps/place/%D0%A4%D1%80%D0%B0%D0%BD%D1%82/data=!4m7!3m6!1s0x46b547efb5285faf:0xdf30f09e561031f3!8m2!3d55.8433476!4d37.4381467!16s%2Fg%2F1hdztxy91!19sChIJr18ote9HtUYR8zEQVp7wMN8?authuser=0&hl=ru&rclk=1
HENDERSON,"Промышленная ул., 6",Магазин одежды,+7 495 782-20-99,https://www.google.com/maps/place/HENDERSON/data=!4m7!3m6!1s0x46b53e231d05a645:0x53ad61e199d6ca11!8m2!3d55.9682007!4d37.3155668!16s%2Fg%2F11hbl673xd!19sChIJRaYFHSM-tUYREcrWmeFhrVM?authuser=0&hl=ru&rclk=1
ЭSТЕТ,"Дмитровское ш., 163а, ТРЦ ""РИО"" 1 этаж, 2-я галерея, рядом с фонтаном",Магазин мужской одежды,+7 929 507-53-19,https://www.google.com/maps/place/%D0%ADS%D0%A2%D0%95%D0%A2/data=!4m7!3m6!1s0x46b53bdae90741dd:0xd95629200f509135!8m2!3d55.9096818!4d37.5407051!16s%2Fg%2F11jfq9t3dl!19sChIJ3UEH6do7tUYRNZFQDyApVtk?authuser=0&hl=ru&rclk=1
